TimeOccur,GeoX,GeoY,Type
04/20/2022 08:00:00,246084700,95576881,BURGLARY
04/19/2022 18:35:00,246303950,95892338,ASSAULT OR BATT
04/19/2022 18:15:00,245776300,95540256,THEFT BY TAKING
04/18/2022 16:26:00,246731800,94247544,KIDNAPPING
04/18/2022 12:00:00,247005450,95607606,THEFT OF MOTOR
04/18/2022 00:00:00,246888575,94265271,LARCENY-BICYCLE
04/17/2022 19:00:00,246727425,96463544,ASSAULT OR BATT
04/17/2022 09:18:00,245776300,95540256,THEFT OF MOTOR
04/17/2022 06:40:00,244271500,95211625,THEFT BY TAKING
04/17/2022 06:40:00,244271500,95211625,THEFT BY TAKING
04/16/2022 20:17:00,244838250,95232719,ASSAULT OR BATT
04/16/2022 20:15:00,246603875,96087625,BURGLARY
04/14/2022 19:18:00,243837250,93758369,ASSAULT OR BATT
04/14/2022 15:38:00,246603800,95087469,THEFT BY TAKING
04/14/2022 09:30:00,246620775,94781550,BURGLARY
04/14/2022 08:00:00,246634425,96125418,THEFT BY DECEPT
04/14/2022 00:00:00,245919000,93834800,THEFT BY TAKING
04/13/2022 22:15:00,245193625,96356531,ASSAULT OR BATT
04/13/2022 22:15:00,245699350,95117700,ROBBERY
04/13/2022 19:23:00,246073725,95922238,ASSAULT OR BATT
04/13/2022 19:00:00,246349225,95285963,THEFT BY TAKING
04/13/2022 17:35:00,246164725,95811756,ASSAULT OR BATT
04/13/2022 09:10:00,246607225,96045556,ASSAULT OR BATT
04/13/2022 08:00:00,246556600,94834800,BURGLARY
04/13/2022 07:20:00,244842025,95379325,ASSAULT OR BATT
04/12/2022 20:00:00,246151325,95611944,BURGLARY
04/12/2022 18:34:00,246121250,94141238,THEFT BY TAKING
04/12/2022 14:06:00,245946275,95789463,ASSAULT OR BATT
04/12/2022 09:06:00,246165050,95244900,ASSAULT OR BATT
04/12/2022 08:45:00,246660100,95032331,ASSAULT OR BATT
04/12/2022 02:51:00,246308325,95281506,ASSAULT OR BATT
04/11/2022 23:00:00,245778950,95617013,THEFT BY TAKING
